Date,Open,High,Low,Close,Adj Close,Volume
2021-02-15,850.099976,856.599976,842.000000,844.299988,844.299988,2531913
2021-02-16,850.000000,852.250000,841.250000,848.349976,848.349976,2808115
2021-02-17,849.450012,854.700012,833.000000,835.700012,835.700012,2539649
2021-02-18,835.000000,843.450012,822.500000,825.450012,825.450012,4114251
2021-02-19,823.799988,825.450012,799.000000,807.349976,807.349976,3834443
2021-02-22,811.400024,817.500000,786.049988,792.450012,792.450012,4090429
2021-02-23,795.000000,803.150024,788.400024,790.950012,790.950012,3264477
2021-02-24,794.000000,798.099976,776.250000,789.049988,789.049988,1587082
2021-02-25,795.000000,814.000000,790.450012,809.150024,809.150024,5478169
2021-02-26,805.000000,820.000000,780.000000,787.049988,787.049988,7549015
2021-03-01,795.000000,800.500000,782.000000,789.799988,789.799988,2748271
2021-03-02,792.599976,815.000000,790.799988,811.799988,811.799988,4275166
2021-03-03,817.950012,818.150024,807.599976,812.500000,812.500000,3265559
2021-03-04,807.400024,818.000000,803.700012,806.750000,806.750000,3640996
2021-03-05,806.500000,812.000000,800.250000,805.150024,805.150024,3832170
2021-03-08,807.950012,819.000000,806.200012,809.250000,809.250000,2915298
2021-03-09,812.599976,816.700012,792.099976,797.000000,797.000000,2783825
2021-03-10,806.000000,814.750000,801.000000,812.400024,812.400024,2512573
2021-03-12,816.500000,818.700012,802.000000,805.950012,805.950012,2082799
2021-03-15,807.900024,808.900024,790.000000,805.500000,805.500000,2651062
2021-03-16,805.099976,808.500000,787.000000,792.299988,792.299988,3671229
2021-03-17,794.799988,794.799988,770.000000,772.150024,772.150024,3246092
2021-03-18,776.000000,778.450012,750.849976,755.150024,755.150024,2894624
2021-03-19,751.000000,767.250000,738.099976,760.650024,760.650024,5262000
2021-03-22,762.000000,784.599976,758.700012,772.849976,772.849976,3563266
2021-03-23,775.000000,779.400024,768.400024,776.099976,776.099976,2118532
2021-03-24,777.799988,798.700012,772.650024,792.950012,792.950012,6904173
2021-03-25,796.900024,802.299988,783.299988,787.250000,787.250000,5292130
2021-03-26,791.000000,799.000000,781.250000,787.450012,787.450012,2934548
2021-03-30,790.250000,815.900024,790.250000,812.200012,812.200012,4453933
2021-03-31,811.000000,823.950012,805.000000,815.099976,815.099976,3075406
2021-04-01,819.500000,824.000000,811.599976,818.299988,818.299988,1910949
2021-04-05,825.000000,827.000000,806.099976,819.750000,819.750000,2920638
2021-04-06,824.000000,845.000000,821.849976,836.150024,836.150024,4569120
2021-04-07,836.150024,844.900024,830.250000,840.849976,840.849976,2404472
2021-04-08,843.000000,850.450012,838.400024,842.000000,842.000000,2459821
2021-04-09,840.900024,892.299988,836.650024,883.049988,883.049988,11189432
2021-04-12,890.000000,940.000000,879.150024,902.400024,902.400024,30141861
2021-04-13,921.950012,932.599976,878.299988,885.200012,885.200012,11667200
2021-04-15,898.799988,925.400024,883.900024,914.200012,914.200012,13218002
2021-04-16,919.750000,944.250000,910.900024,938.049988,938.049988,13746268
2021-04-19,945.250000,955.000000,924.000000,946.299988,946.299988,17805574
2021-04-20,965.099976,966.349976,941.099976,949.299988,949.299988,10205616
2021-04-22,958.799988,963.150024,938.849976,944.349976,944.349976,8522208
2021-04-23,944.349976,952.849976,922.750000,935.599976,935.599976,7972589
2021-04-26,935.599976,940.000000,902.150024,905.400024,905.400024,10255697
2021-04-27,913.000000,919.500000,901.000000,912.400024,912.400024,5669049
2021-04-28,914.349976,918.000000,902.950012,910.200012,910.200012,7251009
2021-04-29,911.950012,917.400024,904.000000,906.500000,906.500000,4953091
2021-04-30,900.750000,921.000000,900.750000,910.349976,910.349976,6459737
2021-05-03,919.099976,924.400024,906.400024,910.200012,910.200012,6330144
2021-05-04,912.900024,912.900024,876.000000,878.450012,878.450012,8347795
2021-05-05,885.000000,899.000000,869.000000,888.650024,888.650024,10491085
2021-05-06,907.000000,916.700012,880.900024,884.299988,884.299988,17973153
2021-05-07,893.000000,895.500000,877.000000,882.900024,882.900024,5479029
2021-05-10,892.500000,906.450012,877.500000,900.250000,900.250000,8379304
2021-05-11,899.950012,905.950012,888.200012,890.900024,890.900024,5864464
2021-05-12,889.299988,906.750000,884.299988,898.599976,898.599976,5224240
2021-05-14,909.000000,921.000000,900.799988,904.049988,904.049988,15048471
