Date,Open,High,Low,Close,Adj Close,Volume
2021-02-15,133.949997,135.399994,131.850006,133.800003,131.384842,16847815
2021-02-16,134.199997,135.250000,132.500000,133.100006,130.697479,15227589
2021-02-17,132.500000,136.949997,132.000000,134.399994,131.973999,21615744
2021-02-18,138.949997,147.800003,138.000000,143.100006,140.516968,114715328
2021-02-19,143.949997,149.449997,143.500000,145.399994,142.775436,69653864
2021-02-22,145.000000,145.500000,142.000000,142.800003,140.222382,20609337
2021-02-23,143.100006,148.750000,143.100006,147.350006,144.690262,30252701
2021-02-24,147.550003,148.100006,142.899994,146.449997,143.806488,21543442
2021-02-25,147.949997,152.800003,146.199997,150.800003,148.077972,38734458
2021-02-26,149.949997,149.949997,140.399994,141.800003,139.240433,37458344
2021-03-01,144.100006,145.649994,142.500000,144.500000,141.891693,16859409
2021-03-02,145.449997,146.899994,143.600006,144.800003,142.186279,16832869
2021-03-03,145.949997,147.500000,144.750000,146.949997,144.297470,16283786
2021-03-04,145.500000,146.850006,143.350006,144.449997,141.842590,16585926
2021-03-05,144.350006,150.000000,144.350006,147.149994,144.493851,34317341
2021-03-08,148.399994,157.949997,147.500000,154.149994,151.367508,63069391
2021-03-09,154.899994,154.899994,148.350006,149.050003,146.359573,20477362
2021-03-10,149.750000,150.899994,147.100006,147.699997,145.033936,21345117
2021-03-12,150.500000,152.449997,145.649994,146.850006,144.199280,15549201
2021-03-15,147.800003,147.800003,141.550003,143.550003,140.958847,22491456
2021-03-16,144.000000,145.649994,141.949997,143.250000,140.664261,15228739
2021-03-17,144.000000,145.500000,137.250000,138.399994,135.901794,15613786
2021-03-18,139.100006,141.800003,132.399994,135.100006,132.661377,17963294
2021-03-19,135.949997,140.250000,128.800003,138.500000,136.000000,42264808
2021-03-22,140.000000,140.000000,135.350006,136.800003,136.800003,17116629
2021-03-23,137.000000,138.300003,133.750000,134.399994,134.399994,14077259
2021-03-24,132.600006,133.949997,130.050003,131.000000,131.000000,14458906
2021-03-25,131.050003,132.899994,127.449997,128.000000,128.000000,20151971
2021-03-26,130.250000,132.800003,128.649994,131.800003,131.800003,16088308
2021-03-30,133.899994,137.250000,130.800003,132.350006,132.350006,71858375
2021-03-31,133.899994,137.800003,133.199997,135.500000,135.500000,31464261
2021-04-01,136.250000,140.949997,135.199997,140.149994,140.149994,18828032
2021-04-05,139.000000,139.449997,134.550003,134.949997,134.949997,12758646
2021-04-06,136.699997,137.000000,134.100006,134.550003,134.550003,8692822
2021-04-07,136.300003,141.850006,136.300003,138.649994,138.649994,33209701
2021-04-08,141.000000,141.000000,137.750000,138.550003,138.550003,13593573
2021-04-09,138.649994,140.500000,138.250000,138.800003,138.800003,8347169
2021-04-12,134.399994,135.649994,130.550003,132.750000,132.750000,15943354
2021-04-13,134.000000,139.899994,133.899994,138.899994,138.899994,19451005
2021-04-15,136.500000,141.550003,136.449997,140.600006,140.600006,14308075
2021-04-16,140.949997,142.399994,139.250000,139.600006,139.600006,11369798
2021-04-19,135.000000,137.899994,133.550003,136.399994,136.399994,11824604
2021-04-20,138.199997,139.750000,133.500000,134.399994,134.399994,18926713
2021-04-22,133.000000,134.199997,130.449997,133.000000,133.000000,10656133
2021-04-23,131.800003,134.000000,128.500000,129.399994,129.399994,23773366
2021-04-26,130.699997,132.000000,129.750000,130.000000,130.000000,6020366
2021-04-27,130.000000,132.800003,130.000000,131.550003,131.550003,11823364
2021-04-28,132.500000,134.000000,132.000000,133.350006,133.350006,6883321
2021-04-29,134.699997,136.399994,133.300003,134.800003,134.800003,9284829
2021-04-30,133.449997,141.449997,132.300003,137.199997,137.199997,21349478
2021-05-03,136.100006,138.199997,134.649994,137.500000,137.500000,7454391
2021-05-04,138.500000,145.649994,137.350006,143.750000,143.750000,31186406
2021-05-05,147.300003,148.850006,143.000000,145.050003,145.050003,21923380
2021-05-06,145.899994,151.850006,145.600006,151.149994,151.149994,26512202
2021-05-07,151.300003,152.649994,148.699997,150.250000,150.250000,18929024
2021-05-10,150.250000,155.500000,150.250000,154.550003,154.550003,16396141
2021-05-11,153.000000,163.500000,152.199997,161.899994,161.899994,35774024
2021-05-12,162.600006,165.750000,158.699997,161.050003,161.050003,26646114
2021-05-14,161.500000,161.750000,152.149994,152.699997,152.699997,20851806
