Date,Open,High,Low,Close,Adj Close,Volume
2021-02-15,292.500000,296.049988,289.000000,291.399994,291.399994,8041775
2021-02-16,293.549988,307.350006,293.000000,302.700012,302.700012,27519511
2021-02-17,302.700012,308.500000,301.000000,303.899994,303.899994,18221106
2021-02-18,306.049988,312.600006,305.000000,309.899994,309.899994,16202053
2021-02-19,308.000000,313.350006,302.250000,308.000000,308.000000,17410357
2021-02-22,310.000000,328.000000,310.000000,316.100006,316.100006,45975603
2021-02-23,321.950012,338.149994,316.649994,333.049988,333.049988,50677230
2021-02-24,334.200012,337.500000,328.000000,332.799988,332.799988,14777374
2021-02-25,337.600006,354.600006,337.000000,350.700012,350.700012,35967464
2021-02-26,343.000000,349.649994,334.750000,340.250000,340.250000,20379210
2021-03-01,342.000000,347.000000,334.600006,344.100006,344.100006,14556212
2021-03-02,344.250000,349.299988,338.750000,345.250000,345.250000,12878208
2021-03-03,350.700012,361.299988,350.500000,359.350006,359.350006,20104887
2021-03-04,352.000000,357.700012,347.000000,349.450012,349.450012,13623173
2021-03-05,345.250000,347.600006,333.149994,337.850006,337.850006,15127687
2021-03-08,340.049988,343.899994,334.700012,336.600006,336.600006,10555735
2021-03-09,339.950012,344.399994,328.450012,333.250000,333.250000,13883599
2021-03-10,335.799988,342.350006,330.450012,340.350006,340.350006,10886045
2021-03-12,341.549988,345.000000,327.450012,330.200012,330.200012,15035151
2021-03-15,331.899994,335.899994,325.000000,333.799988,333.799988,14049436
2021-03-16,336.000000,336.750000,326.299988,333.899994,333.899994,13294567
2021-03-17,332.950012,333.549988,325.000000,326.399994,326.399994,11028678
2021-03-18,329.350006,340.500000,329.350006,331.799988,331.799988,23744146
2021-03-19,330.000000,339.700012,320.600006,335.100006,335.100006,16753538
2021-03-22,335.100006,342.649994,331.100006,339.750000,339.750000,8470164
2021-03-23,341.899994,342.450012,330.299988,331.700012,331.700012,13880498
2021-03-24,328.299988,328.299988,316.799988,317.750000,317.750000,20388678
2021-03-25,319.049988,319.899994,305.399994,314.000000,314.000000,20856373
2021-03-26,318.100006,328.500000,318.100006,327.149994,327.149994,13857627
2021-03-30,330.549988,332.899994,324.950012,326.299988,326.299988,9159261
2021-03-31,323.100006,336.000000,320.899994,326.850006,326.850006,10387652
2021-04-01,329.750000,352.000000,328.450012,350.250000,350.250000,25631843
2021-04-05,349.899994,352.899994,338.000000,350.649994,350.649994,14771653
2021-04-06,352.700012,358.299988,348.500000,350.450012,350.450012,11185963
2021-04-07,350.399994,360.700012,349.000000,352.200012,352.200012,12542475
2021-04-08,355.899994,374.000000,354.649994,365.200012,365.200012,28768469
2021-04-09,367.000000,370.000000,354.700012,361.049988,361.049988,16371164
2021-04-12,352.100006,354.000000,331.600006,336.200012,336.200012,16096812
2021-04-13,336.200012,350.299988,336.200012,348.700012,348.700012,12942071
2021-04-15,354.000000,366.799988,349.750000,353.549988,353.549988,21825520
2021-04-16,356.750000,376.500000,352.700012,370.000000,370.000000,28438547
2021-04-19,358.700012,366.000000,353.850006,361.399994,361.399994,15435944
2021-04-20,368.600006,371.500000,354.549988,359.350006,359.350006,15526407
2021-04-22,360.799988,365.600006,354.700012,355.850006,355.850006,12756931
2021-04-23,354.049988,362.649994,345.299988,349.500000,349.500000,12805877
2021-04-26,353.000000,358.250000,345.500000,348.350006,348.350006,16472269
2021-04-27,350.100006,370.000000,350.100006,366.250000,366.250000,41263319
2021-04-28,368.850006,368.899994,358.000000,362.600006,362.600006,15197329
2021-04-29,367.399994,377.299988,364.600006,372.149994,372.149994,34391622
2021-04-30,368.899994,377.000000,361.299988,364.399994,364.399994,19935239
2021-05-03,364.399994,373.200012,357.649994,369.950012,369.950012,15890242
2021-05-04,372.000000,384.450012,359.700012,362.549988,362.549988,29767756
2021-05-05,367.000000,373.700012,364.299988,367.100006,367.100006,15192338
2021-05-06,370.000000,388.600006,367.799988,385.950012,385.950012,31912131
2021-05-07,390.000000,404.950012,385.250000,401.100006,401.100006,46343220
2021-05-10,407.799988,427.500000,406.700012,425.750000,425.750000,39516234
2021-05-11,414.850006,420.600006,408.850006,412.799988,412.799988,27497466
2021-05-12,416.000000,417.649994,393.700012,398.799988,398.799988,18242276
2021-05-14,403.000000,403.649994,368.149994,382.799988,382.799988,41384078
