Date,Open,High,Low,Close,Adj Close,Volume
2021-02-15,215.750000,215.750000,210.100006,211.699997,211.699997,16138993
2021-02-16,213.500000,213.750000,202.850006,206.100006,206.100006,22889782
2021-02-17,206.899994,216.000000,205.250000,214.949997,214.949997,24935346
2021-02-18,214.949997,217.899994,211.000000,211.750000,211.750000,10113509
2021-02-19,211.750000,213.699997,205.750000,208.550003,208.550003,11980113
2021-02-22,209.000000,209.600006,200.250000,201.800003,201.800003,12740682
2021-02-23,203.800003,205.800003,198.050003,201.949997,201.949997,13790781
2021-02-24,203.550003,208.800003,202.500000,205.600006,205.600006,14598127
2021-02-25,207.850006,210.800003,206.300003,208.600006,208.600006,14098285
2021-02-26,205.000000,208.550003,200.000000,201.000000,201.000000,15890204
2021-03-01,203.000000,218.199997,202.399994,216.850006,216.850006,31327176
2021-03-02,217.000000,221.399994,214.350006,220.149994,220.149994,20946460
2021-03-03,221.899994,226.000000,220.449997,222.000000,222.000000,15614989
2021-03-04,220.000000,231.800003,216.800003,225.750000,225.750000,28577547
2021-03-05,225.000000,229.399994,215.399994,218.050003,218.050003,18275754
2021-03-08,220.300003,227.699997,218.149994,224.800003,224.800003,17810992
2021-03-09,225.949997,228.000000,215.000000,220.350006,220.350006,11173032
2021-03-10,222.100006,224.050003,220.350006,221.649994,221.649994,7032325
2021-03-12,222.899994,226.500000,217.699997,218.800003,218.800003,11711197
2021-03-15,219.000000,220.350006,209.050003,213.250000,213.250000,19822692
2021-03-16,214.800003,215.399994,210.000000,210.850006,210.850006,9399663
2021-03-17,210.000000,211.850006,202.699997,203.350006,203.350006,11389219
2021-03-18,206.399994,214.850006,204.100006,207.100006,207.100006,22859020
2021-03-19,206.000000,216.850006,203.199997,215.850006,215.850006,16239368
2021-03-22,214.100006,217.300003,213.399994,214.300003,214.300003,8223442
2021-03-23,215.300003,216.449997,210.399994,212.649994,212.649994,7471433
2021-03-24,211.250000,212.899994,204.399994,205.199997,205.199997,9492234
2021-03-25,206.000000,206.500000,194.300003,196.100006,196.100006,14877598
2021-03-26,199.600006,203.850006,198.100006,199.949997,199.949997,9834076
2021-03-30,204.000000,204.000000,197.949997,200.949997,200.949997,8199118
2021-03-31,201.399994,204.550003,198.899994,203.199997,203.199997,6453075
2021-04-01,204.199997,210.850006,202.199997,209.250000,209.250000,8509692
2021-04-05,209.000000,209.000000,195.500000,202.149994,202.149994,14387268
2021-04-06,202.250000,204.500000,198.600006,199.899994,199.899994,8767242
2021-04-07,200.949997,204.250000,199.800003,200.399994,200.399994,12421910
2021-04-08,202.000000,205.199997,200.600006,201.949997,201.949997,8695941
2021-04-09,202.500000,208.000000,201.000000,206.050003,206.050003,11821377
2021-04-12,201.199997,201.250000,176.100006,181.100006,181.100006,24875466
2021-04-13,184.850006,189.250000,182.100006,188.050003,188.050003,9965317
2021-04-15,189.399994,190.500000,184.899994,189.199997,189.199997,10404058
2021-04-16,189.199997,196.899994,189.199997,193.949997,193.949997,7952202
2021-04-19,187.000000,191.199997,185.100006,190.350006,190.350006,9346956
2021-04-20,193.000000,201.750000,192.199997,197.399994,197.399994,15709132
2021-04-22,195.500000,199.800003,191.699997,192.300003,192.300003,10203121
2021-04-23,192.000000,193.000000,187.000000,188.000000,188.000000,8529439
2021-04-26,190.600006,191.100006,185.100006,186.399994,186.399994,8542755
2021-04-27,188.000000,192.949997,186.800003,188.149994,188.149994,14247767
2021-04-28,188.800003,190.600006,187.100006,189.100006,189.100006,8429439
2021-04-29,190.800003,191.649994,186.000000,186.550003,186.550003,9483009
2021-04-30,185.300003,190.949997,183.649994,185.600006,185.600006,11435285
2021-05-03,184.050003,184.500000,181.149994,183.750000,183.750000,6894289
2021-05-04,185.399994,187.350006,180.800003,182.100006,182.100006,6677740
2021-05-05,183.649994,184.850006,181.000000,182.949997,182.949997,5766913
2021-05-06,184.000000,184.199997,179.600006,182.250000,182.250000,7055520
2021-05-07,183.949997,190.750000,181.399994,186.250000,186.250000,21179867
2021-05-10,187.199997,193.600006,186.550003,189.000000,189.000000,13695685
2021-05-11,188.000000,189.800003,185.050003,186.850006,186.850006,9111997
2021-05-12,186.500000,198.199997,183.000000,193.000000,193.000000,30610882
2021-05-14,194.149994,195.000000,186.199997,191.600006,191.600006,18946472
