tweet_ID,Name,Text,Date,Media
1,HCLFirstCareers,"Register today: https://t.co/YYOaRSsQMj

#HCLFirstCareers #HCLTech #HCLTechnologies #Inspiration #Motivation… https://t.co/HlCSlbtzGP",2021-06-16 08:34:56,0
2,krishnakhanna,"#ICMCBO Alert Buy #HCLTECH CMP: 979.5 Target: 0 SL: 0 #NimblrTA, These alerts are delayed and for demonstration. Fo… https://t.co/puwjudmScL",2021-06-16 07:01:15,0
3,No_Paid_Service,"#HcLinfotech #hcltech 

April 10th uploaded and many of you didn't take any of this recommendation seriously on sam… https://t.co/Ye5Cuy7cUZ",2021-06-16 06:20:14,0
4,busyrabbit_,"#NowHolding #hcltech #TataChem #banknifty #IGL 
#ApnaTimeAayega 
Market is doing flip-flop but refuse to go down wh… https://t.co/MFPc4nBKmq",2021-06-16 05:42:12,0
5,BillionClub22,"SELL HCLTECH  BELOW 981

#HCLTECH #frontpage_app",2021-06-16 04:23:39,0
6,CHARTYODDHA,HCLTECH- TRIPLE TOP WITH NEGATIVE DIVERGENCE. - #HCLTECH chart https://t.co/5qiCo7WgyU,2021-06-16 01:17:04,0
7,markets_tradia,"#nseindia #bse #niftyfifty #banknifty #RBI #sebi #exports #coalindia #hcltech #AdaniGroup  #StocksInFocus 
Made By:… https://t.co/3iOLnSAg51",2021-06-15 17:36:49,0
8,markets_tradia,"The Sentinel - 15th June 2021.
#nseindia #bse #niftyfifty #banknifty #RBI #sebi #exports #coalindia #hcltech… https://t.co/iSRK96vHmi",2021-06-15 17:36:47,0
9,StockMarketBus1,"Indian tech companies are almost 20 years lag behind the US tech companies

If you know any world recognised tech p… https://t.co/bDJsAAYeXi",2021-06-15 16:02:03,0
10,bale1966,#SPARKmatric # BIGFIX #HCLSoftware #HCLTech #Magicquadrant https://t.co/YWYhIiRSgf,2021-06-15 13:36:31,0
